\N,EKVD
FAE,EKVG
\N,EKVH
STA,EKVJ
AAL,EKYT
LUX,ELLX
AES,ENAL
ANX,ENAN
ALF,ENAT
\N,ENBM
BNN,ENBN
BOO,ENBO
BGO,ENBR
BJF,ENBS
KRS,ENCN
\N,ENDI
BDU,ENDU
EVE,ENEV
VDB,ENFG
FRO,ENFL
OSL,ENGM
HAU,ENHD
HAA,ENHK
KSU,ENKB
\N,ENKJ
KKN,ENKR
FAN,ENLI
MOL,ENML
MJF,ENMS
LKL,ENNA
NTB,ENNO
OLA,ENOL
RRS,ENRO
RYG,ENRY
LYR,ENSB
SKE,ENSN
SRP,ENSO
SSJ,ENST
TOS,ENTC
TRF,ENTO
TRD,ENVA
SVG,ENZV
\N,EPBC
GDN,EPGD
KRK,EPKK
\N,EPKM
KTW,EPKT
\N,EPML
POZ,EPPO
RZE,EPRZ
SZZ,EPSC
OSP,EPSK
\N,EPSN
WAW,EPWA
WRO,EPWR
IEG,EPZG
\N,ESCF
\N,ESCK
\N,ESCM
RNB,ESDF
\N,ESFR
GOT,ESGG
JKG,ESGJ
\N,ESGK
LDK,ESGL
GSE,ESGP
KVB,ESGR
THN,ESGT
\N,ESIA
\N,ESIB
\N,ESKB
KSK,ESKK
MXX,ESKM
NYO,ESKN
\N,ESKV
\N,ESMA
\N,ESMG
KID,ESMK
JLD,ESML
OSK,ESMO
\N,ESMP
KLR,ESMQ
MMX,ESMS
HAD,ESMT
\N,ESMV
VXO,ESMX
\N,ESNA
\N,ESNC
EVG,ESND
GEV,ESNG
HUV,ESNH
\N,ESNJ
KRF,ESNK
LYC,ESNL
\N,ESNM
SDL,ESNN
OER,ESNO
\N,ESNP
KRN,ESNQ
\N,ESNR
SFT,ESNS
\N,ESNT
UME,ESNU
VHM,ESNV
AJR,ESNX
ORB,ESOE
VST,ESOW
LLA,ESPA
\N,ESPE
\N,ESQO
ARN,ESSA
BMA,ESSB
BLE,ESSD
HLF,ESSF
GVX,ESSK
LPI,ESSL
NRK,ESSP
\N,ESSU
VBY,ESSV
\N,ESUK
SPM,ETAD
RMS,ETAR
\N,ETEJ
GHF,ETEU
\N,ETHB
ZCN,ETHC
\N,ETHE
\N,ETHF
\N,ETHL
\N,ETHM
\N,ETHN
\N,ETHR
\N,ETHS
\N,ETIC
ZNF,ETID
\N,ETIH
\N,ETIN
\N,ETMN
\N,ETND
GKE,ETNG
\N,ETNH
\N,ETNJ
RLG,ETNL
\N,ETNN
\N,ETNS
\N,ETNT
